what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1294732908944
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1294732908951
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1294732908969
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1294732908981
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1294732908981
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1294732908983
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1294732909000
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1294732909017
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1294732909030
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1294732909047
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1294732909060
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1294732909072
started,bundle,com.google.appengine.eclipse.core,1.4.2.v201012211742,"com.google.appengine.eclipse.core",1294732909073
started,bundle,com.google.appengine.eclipse.sdkbundle.1.4.0,1.4.0.v201012021502,"com.google.appengine.eclipse.sdkbundle.1.4.0",1294732909086
started,bundle,com.google.gdt.eclipse.core,1.4.2.v201012211742,"com.google.gdt.eclipse.core",1294732909088
started,bundle,com.google.gdt.eclipse.platform.e36,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.e36",1294732909090
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.2.v201012211742,"com.google.gdt.eclipse.platform.shared",1294732909091
started,bundle,com.google.gdt.eclipse.suite,1.4.2.v201012211742,"com.google.gdt.eclipse.suite",1294732909092
started,bundle,com.google.gwt.eclipse.core,1.4.2.v201012211742,"com.google.gwt.eclipse.core",1294732909116
started,bundle,com.google.gwt.eclipse.sdkbundle.2.1.1,2.1.1.v201012170127,"com.google.gwt.eclipse.sdkbundle.2.1.1",1294732909141
os,sysinfo,,,"linux",1294732909159
arch,sysinfo,,,"x86_64",1294732909160
ws,sysinfo,,,"gtk",1294732909160
locale,sysinfo,,,"ko_KR",1294732909160
processors,sysinfo,,,"2",1294732909160
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1294732909161
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1294732909161
java.specification.name,sysinfo,,,"Java Platform API Specification",1294732909161
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294732909161
java.specification.version,sysinfo,,,"1.6",1294732909161
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1294732909161
java.version,sysinfo,,,"1.6.0_20",1294732909161
java.vm.info,sysinfo,,,"mixed mode",1294732909161
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1294732909161
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1294732909161
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294732909161
java.vm.specification.version,sysinfo,,,"1.0",1294732909161
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1294732909161
java.vm.version,sysinfo,,,"19.0-b09",1294732909161
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1294732909766
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1294732909851
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1294732909887
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1294732910401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732915578
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1294732915590
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294732917659
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1294732917730
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1294732917772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294732932863
started,bundle,org.python.pydev.core,1.6.3.2010100513,"org.python.pydev.core",1294732952055
started,bundle,com.python.pydev.analysis,1.6.3.2010100513,"com.python.pydev.analysis",1294732952254
started,bundle,org.python.pydev,1.6.3.2010100513,"org.python.pydev",1294732952352
